Server IP;System Resolver;Status;Nets Blocked;Cached Min;Cached Avg;Cached Max;Cached Std;Cached Sent;Cached Rcvd;Uncached Min;Uncached Avg;Uncached Max;Uncached Std;Uncached Sent;Uncached Rcvd;Dotcom Min;Dotcom Avg;Dotcom Max;Dotcom Std;Dotcom Sent;Dotcom Rcvd;Reverse DNS;Owner;Start Time (utc);Duration (sec)
   8.   8.   8.   8;No;Online;--------;0,006;0,006;0,007;0,000;49;49;0,026;0,082;0,225;0,044;49;49;0,058;0,064;0,072;0,003;49;49;google-public-dns-a.google.com;GOOGLE - Google LLC, US;2019-05-08 17:02:03;498,698
   8.   8.   4.   4;No;Online;--------;0,004;0,006;0,008;0,000;49;49;0,036;0,096;0,209;0,044;49;49;0,058;0,064;0,069;0,003;49;49;google-public-dns-b.google.com;GOOGLE - Google LLC, US;2019-05-08 17:02:03;498,698
   1.   0.   0.   1;No;Online;--------;0,023;0,026;0,029;0,001;49;49;0,028;0,088;0,315;0,075;49;49;0,047;0,050;0,053;0,001;49;49;one.one.one.one;CLOUDFLARENET - Cloudflare, Inc., US;2019-05-08 17:02:03;498,698
   1.   1.   1.   1;No;Online;--------;0,029;0,029;0,032;0,001;49;49;0,029;0,093;0,286;0,071;49;49;0,051;0,053;0,055;0,001;49;49;one.one.one.one;CLOUDFLARENET - Cloudflare, Inc., US;2019-05-08 17:02:03;498,698
  81.  18. 129. 252;No;Online;--------;0,032;0,034;0,036;0,000;49;49;0,048;0,098;0,231;0,055;49;49;0,043;0,045;0,046;0,001;49;49;ns1.ttknn.net;TTKNN-AS, RU;2019-05-08 17:02:03;498,698
  80.  73.   1.   1;No;Online;--------;0,034;0,036;0,038;0,000;49;49;0,048;0,113;0,333;0,074;49;49;0,043;0,069;0,086;0,016;49;49;ns1.sloboda.net;TRIOLAN, UA;2019-05-08 17:02:03;498,698
 195.  27.   1.   1;No;Online;--------;0,037;0,041;0,042;0,000;49;49;0,041;0,102;0,356;0,077;49;49;0,059;0,064;0,069;0,002;49;49;cns2.cw.net;CW Vodafone Group PLC, GB;2019-05-08 17:02:03;498,698
 213. 115. 226.   2;No;Online;--------;0,038;0,042;0,044;0,001;49;49;0,045;0,084;0,257;0,055;49;49;0,044;0,062;0,079;0,012;49;49;ns1.gns.se;TELENOR-NEXTEL Telenor Norge AS, NO;2019-05-08 17:02:03;498,698
 127.   0.   0.   1;Yes;Online;--------;0,041;0,042;0,043;0,001;48;48;0,046;0,145;0,360;0,095;48;48;0,046;0,047;0,051;0,001;48;48;localhost;Local Network Nameserver;2019-05-08 17:02:03;498,698
 141.   1.   1.   1;No;Online;--------;0,043;0,043;0,045;0,000;49;49;0,045;0,105;0,355;0,074;49;49;0,063;0,065;0,070;0,002;49;49;cns1.cw.net;CW Vodafone Group PLC, GB;2019-05-08 17:02:03;498,698
 141.   1.  27. 249;No;Online;--------;0,043;0,044;0,048;0,001;49;49;0,045;0,117;0,364;0,093;49;49;0,063;0,067;0,072;0,002;49;49;euro-cns1.cw.net;CW Vodafone Group PLC, GB;2019-05-08 17:02:03;498,698
  85. 119. 136. 158;No;Online;--------;0,048;0,048;0,052;0,001;49;49;0,053;0,095;0,284;0,056;49;49;0,057;0,063;0,080;0,007;49;49;85-119-136-158.telio.no;TELIO-AS, NO;2019-05-08 17:02:03;498,698
  85. 233. 144.  10;No;Online;--------;0,055;0,055;0,058;0,001;48;48;0,104;0,168;0,340;0,065;48;48;0,124;0,138;0,146;0,005;48;48;res.zaural.ru;ROSTELECOM-AS, RU;2019-05-08 17:02:03;498,698
  85. 233. 130.  67;No;Online;--------;0,058;0,059;0,061;0,001;48;48;0,108;0,171;0,332;0,060;48;48;0,130;0,142;0,154;0,006;48;48;ns.zaural.ru;ROSTELECOM-AS, RU;2019-05-08 17:02:03;498,698
 208.  67. 220. 123;No;Online;--------;0,058;0,060;0,061;0,000;49;49;0,061;0,108;0,312;0,071;49;49;0,059;0,066;0,072;0,004;49;49;resolver2-fs.opendns.com;OPENDNS - OpenDNS, LLC, US;2019-05-08 17:02:03;498,698
 170.  56.  58.  53;No;Online;--------;0,061;0,061;0,063;0,000;49;49;0,063;0,111;0,366;0,081;49;49;0,063;0,070;0,090;0,006;49;49;nserver1.khis.de;HP_WEBSERVICES, DE;2019-05-08 17:02:03;498,698
 208.  67. 220. 222;No;Online;--------;0,060;0,061;0,063;0,000;49;49;0,062;0,117;0,313;0,078;49;49;0,059;0,066;0,073;0,004;49;49;resolver4.opendns.com;OPENDNS - OpenDNS, LLC, US;2019-05-08 17:02:03;498,698
 156. 154.  70.   1;No;Online;--------;0,059;0,061;0,064;0,001;49;49;0,060;0,118;0,343;0,086;49;49;0,062;0,071;0,085;0,008;49;49;rdns1.ultradns.net;ULTRADNS - NeuStar, Inc., US;2019-05-08 17:02:03;498,698
 193.  78. 240.  12;No;Online;--------;0,061;0,062;0,063;0,000;49;49;0,064;0,092;0,326;0,058;49;49;0,071;0,073;0,075;0,001;49;49;cache0204.ns.eu.uu.net;UUNET - MCI Communications Services, Inc. d/b/a Verizon B;2019-05-08 17:02:03;498,698
 208.  67. 222. 222;No;Online;--------;0,061;0,062;0,065;0,000;49;49;0,063;0,112;0,310;0,079;49;49;0,063;0,068;0,075;0,004;49;49;resolver1.opendns.com;OPENDNS - OpenDNS, LLC, US;2019-05-08 17:02:03;498,698
 194.  25.   0.  68;No;Online;--------;0,059;0,062;0,062;0,000;49;49;0,062;0,119;0,361;0,084;49;49;0,065;0,066;0,070;0,001;49;49;resolv-f.dtag.de;DTAG Internet service provider operations, DE;2019-05-08 17:02:03;498,698
 195. 129.  12. 122;No;Online;--------;0,063;0,063;0,065;0,000;49;49;0,060;0,095;0,327;0,059;49;49;0,066;0,067;0,069;0,000;49;49;cache0400.ns.eu.uu.net;UUNET - MCI Communications Services, Inc. d/b/a Verizon B;2019-05-08 17:02:03;498,698
 193.  79. 242.  39;No;Online;--------;0,064;0,064;0,064;0,000;49;49;0,065;0,096;0,345;0,066;49;49;0,072;0,074;0,077;0,001;49;49;cache0205.ns.eu.uu.net;UUNET - MCI Communications Services, Inc. d/b/a Verizon B;2019-05-08 17:02:03;498,698
 208.  67. 220. 220;No;Online;--------;0,064;0,064;0,066;0,000;49;49;0,065;0,105;0,273;0,061;49;49;0,063;0,069;0,075;0,003;49;49;resolver2.opendns.com;OPENDNS - OpenDNS, LLC, US;2019-05-08 17:02:03;498,698
 129. 250.  35. 250;No;Online;--------;0,061;0,064;0,065;0,000;49;49;0,064;0,106;0,303;0,071;49;49;0,064;0,075;0,221;0,031;49;49;x.ns.gin.ntt.net;NTT-COMMUNICATIONS-2914 - NTT America, Inc., US;2019-05-08 17:02:03;498,698
 208.  67. 222. 123;No;Online;--------;0,064;0,064;0,067;0,000;49;49;0,065;0,111;0,289;0,068;49;49;0,064;0,069;0,075;0,003;49;49;resolver1-fs.opendns.com;OPENDNS - OpenDNS, LLC, US;2019-05-08 17:02:03;498,698
 208.  67. 222. 220;No;Online;--------;0,062;0,064;0,067;0,001;49;49;0,065;0,111;0,322;0,077;49;49;0,064;0,069;0,074;0,003;49;49;resolver3.opendns.com;OPENDNS - OpenDNS, LLC, US;2019-05-08 17:02:03;498,698
 216. 146.  35.  35;No;Online;--------;0,062;0,064;0,065;0,000;48;48;0,064;0,112;0,309;0,072;48;48;0,062;0,076;0,089;0,008;48;48;rdns.dynect.net;DYNDNS - Oracle Corporation, US;2019-05-08 17:02:03;498,698
 129. 250.  35. 251;No;Online;--------;0,063;0,064;0,066;0,000;49;49;0,064;0,113;0,339;0,079;49;49;0,063;0,068;0,088;0,006;49;49;y.ns.gin.ntt.net;NTT-COMMUNICATIONS-2914 - NTT America, Inc., US;2019-05-08 17:02:03;498,698
 217. 150.  35. 129;No;Online;--------;0,056;0,064;0,067;0,001;49;49;0,121;0,170;0,355;0,060;49;49;0,110;0,141;0,158;0,016;49;49;ns1.transtelecom.net;TRANSTELECOM Moscow, Russia, RU;2019-05-08 17:02:03;498,698
 195. 182. 110. 132;No;Online;--------;0,062;0,065;0,068;0,001;49;49;0,065;0,094;0,261;0,050;49;49;0,074;0,109;0,339;0,078;49;49;dns-fra.de.ignite.net;BT, GB;2019-05-08 17:02:03;498,698
 195. 129.  12.  83;No;Online;--------;0,063;0,065;0,067;0,001;49;49;0,066;0,095;0,302;0,052;49;49;0,074;0,075;0,079;0,001;49;49;cache0206.ns.eu.uu.net;UUNET - MCI Communications Services, Inc. d/b/a Verizon B;2019-05-08 17:02:03;498,698
 193. 101. 111.  20;No;Online;--------;0,064;0,065;0,065;0,000;49;49;0,066;0,096;0,329;0,057;49;49;0,067;0,069;0,070;0,000;49;49;cache0703.ns.eu.uu.net;UUNET - MCI Communications Services, Inc. d/b/a Verizon B;2019-05-08 17:02:03;498,698
 193.  67.  79.  39;No;Online;--------;0,065;0,065;0,066;0,000;49;49;0,067;0,098;0,355;0,065;49;49;0,074;0,076;0,079;0,001;49;49;cache0200.ns.eu.uu.net;UUNET - MCI Communications Services, Inc. d/b/a Verizon B;2019-05-08 17:02:03;498,698
  66.  28.   0.  45;No;Online;--------;0,064;0,065;0,065;0,000;49;49;0,065;0,104;0,329;0,070;49;49;0,064;0,066;0,068;0,001;49;49;res1.dns.cogentco.com;COGENT-174 - Cogent Communications, US;2019-05-08 17:02:03;498,698
   9.   9.   9.   9;No;Online;--------;0,061;0,065;0,074;0,002;49;49;0,065;0,107;0,276;0,060;49;49;0,065;0,067;0,073;0,001;49;49;dns.quad9.net;QUAD9-AS-1 - Quad9, US;2019-05-08 17:02:03;498,698
 193.  89. 248.   1;No;Online;--------;0,065;0,066;0,069;0,001;39;39;0,065;0,106;0,292;0,054;39;39;0,065;0,082;0,093;0,009;39;39;ns.christiania.org;TDC TDC A/S, DK;2019-05-08 17:02:03;498,698
 193. 101. 111.  10;No;Online;--------;0,066;0,067;0,070;0,000;49;49;0,072;0,104;0,317;0,058;49;49;0,073;0,075;0,076;0,000;49;49;cache0702.ns.eu.uu.net;UUNET - MCI Communications Services, Inc. d/b/a Verizon B;2019-05-08 17:02:03;498,698
 194.  77.   8.   1;No;Online;--------;0,067;0,068;0,070;0,001;49;49;0,072;0,109;0,279;0,057;49;49;0,072;0,074;0,076;0,001;49;49;gtnduss1.dpn.de;VIA-NET-WORKS-AS - Interoute USA Inc., US;2019-05-08 17:02:03;498,698
  62. 134.  11.   4;No;Online;--------;0,068;0,070;0,079;0,002;49;48;0,076;0,114;0,302;0,058;48;48;0,091;0,123;0,339;0,069;48;48;dns-muc.de.ignite.net;BT, GB;2019-05-08 17:02:03;498,698
 156. 154.  71.   1;No;Online;--------;0,071;0,071;0,073;0,000;49;49;0,072;0,121;0,283;0,066;49;49;0,073;0,086;0,100;0,008;49;49;rdns2.ultradns.net;ULTRADNS - NeuStar, Inc., US;2019-05-08 17:02:03;498,698
 127.   0.   2.   1;Yes;Online;--------;0,076;0,077;0,079;0,001;49;49;0,079;0,116;0,321;0,068;49;49;0,080;0,085;0,090;0,003;49;49;Private IP;Local Network Nameserver;2019-05-08 17:02:03;498,698
 199.   2. 252.  10;No;Online;--------;0,133;0,134;0,135;0,000;49;49;0,134;0,178;0,381;0,061;49;49;0,135;0,167;0,201;0,022;49;49;ns2.sprintlink.net;SPRINTLINK - Sprint, US;2019-05-08 17:02:03;498,698
 204. 117. 214.  10;No;Online;--------;0,137;0,138;0,140;0,000;49;49;0,139;0,170;0,361;0,059;49;49;0,144;0,146;0,152;0,002;49;49;ns1.sprintlink.net;SPRINTLINK - Sprint, US;2019-05-08 17:02:03;498,698
 204.  97. 212.  10;No;Online;--------;0,138;0,139;0,141;0,000;49;49;0,140;0,178;0,401;0,062;49;49;0,139;0,171;0,206;0,021;49;49;ns3.sprintlink.net;SPRINTLINK - Sprint, US;2019-05-08 17:02:03;498,698
 209.  55.   1. 220;No;Online;--------;0,161;0,162;0,164;0,000;49;49;0,163;0,187;0,346;0,040;49;49;0,163;0,171;0,214;0,010;49;49;nsb.ibbsonline.com;MOMENTUM - SinglePipe LLC, US;2019-05-08 17:02:03;498,698
 209.  55.   0. 110;No;Online;--------;0,161;0,163;0,167;0,001;49;49;0,164;0,186;0,348;0,042;49;49;0,164;0,177;0,216;0,013;49;49;nsa.ibbsonline.com;MOMENTUM - SinglePipe LLC, US;2019-05-08 17:02:03;498,698
 204. 194. 234. 200;No;Online;--------;0,174;0,175;0,179;0,001;49;49;0,175;0,218;0,399;0,052;49;49;0,188;0,206;0,240;0,015;49;49;None;302-DIRECT-MEDIA-ASN - 302 Direct Media LLC, US;2019-05-08 17:02:03;498,698
 204. 194. 232. 200;No;Online;--------;0,185;0,185;0,190;0,001;49;49;0,186;0,230;0,441;0,064;49;49;0,199;0,220;0,249;0,016;49;49;None;302-DIRECT-MEDIA-ASN - 302 Direct Media LLC, US;2019-05-08 17:02:03;498,698
